UIC;Nom de la gare;adresse postale;Type;Région;Latitude;Longitude
141432;Thiaville;;Gare Ferroviaire de Voyageurs;Lorraine;48,41355;6,81048
696419;Thiel sur Acolin;;Gare Ferroviaire de Voyageurs;Auvergne;46,52628;3,57890
342287;Thiennes;;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,65242;2,47268
734475;Thiers;;Gare Ferroviaire de Voyageurs;Auvergne;45,86137;3,54286
272054;Thieux-Nantouillet;;Gare Ferroviaire de Voyageurs;Ile de France;49,00871;2,68055
191007;Thionville;10 place de la gare 57100 THIONVILLE;Gare Ferroviaire de Voyageurs;Lorraine;49,35426;6,17033
595124;Thiviers;Rue Pierre Sémard 24800 Thiviers;Gare Ferroviaire de Voyageurs;Aquitaine;45,41901;0,92099
682252;Thomery;Chemin Forestier 77300 Fontainebleau;Gare Ferroviaire de Voyageurs;Ile de France;48,39423;2,76453
745646;Thonon les Bains;Rue de la Gare 74200 Thonon les Bains;Gare Ferroviaire de Voyageurs;Rhône-Alpes;46,36895;6,48206
481143;Thouaré;;Gare Ferroviaire de Voyageurs;Pays de la Loire;47,26512;-1,44093
487009;Thouars;;Gare Ferroviaire de Voyageurs;Poitou-Charentes;46,98523;-0,21058
276741;Thourotte;Place de la gare 60150 Thourotte;Gare Ferroviaire de Voyageurs;Picardie;49,47531;2,88181
784751;Thuès;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;42,52373;2,22335
784744;Thuès les Bains;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;42,53032;2,25012
381822;Thun le Paradis;;Gare Ferroviaire de Voyageurs;Ile de France;49,00683;1,92014
215699;Tieffenbach-Struth;;Gare Ferroviaire de Voyageurs;Alsace;48,90631;7,25511
484147;Tiercé;;Gare Ferroviaire de Voyageurs;Pays de la Loire;47,61792;-0,46923
393587;Tillières;Place de la gare 27570 Tillières-sur-Avre;Gare Ferroviaire de Voyageurs;Haute-Normandie;48,76065;1,05372
342303;Tincques;;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,35696;2,49762
485151;Tonnay-Charente;;Gare Ferroviaire de Voyageurs;Poitou-Charentes;45,94338;-0,89783
586651;Tonneins;;Gare Ferroviaire de Voyageurs;Aquitaine;44,39292;0,31418
713198;Tonnerre;;Gare Ferroviaire de Voyageurs;Bourgogne;47,85962;3,97353
486894;Torfou;;Gare Ferroviaire de Voyageurs;Pays de la Loire;47,03300;-1,11717
718114;Torpes-Boussières;;Gare Ferroviaire de Voyageurs;Franche-Comté;47,16380;5,88868
756817;Touët-de-l'Escarène;;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,84691;7,36389
141044;Toul;Avenue Victor HUGO  54200 Toul;Gare Ferroviaire de Voyageurs;Lorraine;48,67908;5,87946
755009;Toulon;Place de l'Europe 83000 TOULON;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,12836;5,92972
611004;Toulouse-Matabiau;64, Boulevard Pierre Sémard BP 35203  31079 Toulouse cedex 5;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,61144;1,45414
286542;Tourcoing;11 Rue Pierre Sémard 59200 TOURCOING;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,71629;3,16748
116210;Tournan;;Gare Ferroviaire de Voyageurs;Ile de France;48,73931;2,75957
671172;Tournay (Hautes-Pyrénées);;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,18351;0,23898
783456;Tournemire-Roquefort;Place de la Gare 12250 TOURNEMIRE;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,96894;3,01782
725622;Tournus;;Gare Ferroviaire de Voyageurs;Bourgogne;46,56647;4,90640
571000;Tours;Place du Général Leclerc 37000 Tours;Gare Ferroviaire de Voyageurs;Centre;47,38823;0,69472
411181;Tourville;;Gare Ferroviaire de Voyageurs;Haute-Normandie;49,32459;1,09805
543074;Toury;;Gare Ferroviaire de Voyageurs;Centre;48,19375;1,94002
696161;Tracy-Sancerre;Rue de la Gare 58150 Tracy-sur-Loire;Gare Ferroviaire de Voyageurs;Bourgogne;47,33688;2,88047
322347;Traou-Nez;;Gare Ferroviaire de Voyageurs;Bretagne;48,74854;-3,13499
393835;Trappes-Voyageurs;;Gare Ferroviaire de Voyageurs;Ile de France;48,77476;2,00658
473819;Trégonneau-Squiffiec;;Gare Ferroviaire de Voyageurs;Bretagne;48,62447;-3,17410
584474;Trémolat;;Gare Ferroviaire de Voyageurs;Aquitaine;44,86244;0,83024
586446;Trentels-Ladignac;;Gare Ferroviaire de Voyageurs;Aquitaine;44,44308;0,88500
286740;Tressin;;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,61068;3,19017
313353;Tricot;;Gare Ferroviaire de Voyageurs;Picardie;49,56162;2,58139
381236;Trie-Château;;Gare Ferroviaire de Voyageurs;Picardie;49,28255;1,81812
381806;Triel sur Seine;;Gare Ferroviaire de Voyageurs;Ile de France;48,98074;2,00613
116491;Trilport;;Gare Ferroviaire de Voyageurs;Ile de France;48,96014;2,94954
343400;Trith Saint-Léger;;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,33198;3,48950
184242;Trois-Chênes;;Gare Ferroviaire de Voyageurs;Franche-Comté;47,64790;6,84605
171264;Trois-Puits;;Gare Ferroviaire de Voyageurs;Champagne-Ardenne;49,20678;4,03839
696203;Tronsanges;;Gare Ferroviaire de Voyageurs;Bourgogne;47,11299;3,05401
444372;Trouville-Deauville;Place Louis Armand 14800 Deauville;Gare Ferroviaire de Voyageurs;Basse-Normandie;49,35313;0,08850
118000;Troyes;Rue du Ravelin - BP 4044 10014 Troyes Cedex;Gare Ferroviaire de Voyageurs;Champagne-Ardenne;48,29501;4,06542
594499;Tulle;Place du Maréchal Staline 19000  TULLE;Gare Ferroviaire de Voyageurs;Limousin;45,25884;1,75580
761759;Tullins-Fures;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,30072;5,49219
182352;Turckheim;;Gare Ferroviaire de Voyageurs;Alsace;48,08545;7,27889
594556;Turenne;Gare SNCF 19500 Turenne;Gare Ferroviaire de Voyageurs;Limousin;45,03984;1,59981
775106;Uchaud;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;43,75806;4,26739
191130;Uckange;;Gare Ferroviaire de Voyageurs;Lorraine;49,30334;6,15609
784884;Ur les Escaldes;;Gare Ferroviaire de Voyageurs;Languedoc-Roussillon;42,45318;1,94325
576348;Urçay;;Gare Ferroviaire de Voyageurs;Centre;46,62968;2,58625
214635;Urmatt;;Gare Ferroviaire de Voyageurs;Alsace;48,52554;7,33828
672386;Urt;;Gare Ferroviaire de Voyageurs;Aquitaine;43,49937;-1,30162
381178;Us;;Gare Ferroviaire de Voyageurs;Ile de France;49,09904;1,97078
594093;Ussel;Avenue Pierre Semard 19200 USSEL;Gare Ferroviaire de Voyageurs;Limousin;45,55767;2,31444
673624;Ustaritz;;Gare Ferroviaire de Voyageurs;Aquitaine;43,40469;-1,44877
594200;Uzerche;Route de Condat 19140 Uzerche;Gare Ferroviaire de Voyageurs;Limousin;45,44047;1,57020
396598;Vaas;;Gare Ferroviaire de Voyageurs;Pays de la Loire;47,67054;0,31728
116293;Vaires-Torcy;;Gare Ferroviaire de Voyageurs;Ile de France;48,87557;2,64230
381798;Val d'Argenteuil;;Gare Ferroviaire de Voyageurs;Ile de France;48,95024;2,23075
113712;Val-de-Fontenay;;Gare Ferroviaire de Voyageurs;Ile de France;48,85422;2,48920
415877;Val-de-Reuil;Route des Falaises 27100 Val de Reuil;Gare Ferroviaire de Voyageurs;Haute-Normandie;49,27607;1,22457
171611;Val-de-Vesle (Marne);;Gare Ferroviaire de Voyageurs;Champagne-Ardenne;49,17841;4,22169
181081;Valdieu;;Gare Ferroviaire de Voyageurs;Alsace;47,63114;7,05578
576215;Valençay;;Gare Ferroviaire de Voyageurs;Centre;47,16521;1,56075
761007;Valence;38, rue Denis Papin 26000 Valence;Gare Ferroviaire de Voyageurs;Rhône-Alpes;44,92765;4,89342
763029;Valence TGV;BP 19952 ALIXAN 26958 Valence CEDEX 9;Gare Ferroviaire de Voyageurs;Rhône-Alpes;44,99155;4,97873
611863;Valence-d'Agen;Cours de Verdun 82400 Valence d'Agen;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;44,11186;0,89175
343004;Valenciennes;Place de la gare 59300 Valenciennes;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,36333;3,51590
